url,domain,name,category,source,hero_type,color_palette,typography,animations,key_sections,notable_element,date_added
https://landonorris.com,landonorris.com,Lando Norris,Portfolio / Personal Brand,Awwwards SOTY 2025,Full-screen immersive video,Dark + vibrant accents,Oversized bold display,High-energy motion design,Hero / About / Gallery,Awwwards Site of the Year 2025,2026-03-12
https://messenger.abeto.co,messenger.abeto.co,Messenger by Abeto,Product / App Showcase,Awwwards SOTY 2025 + Dev Award,Interactive animated product demo,Clean dark UI,Sans-serif system,Fluid micro-interactions + transitions,Hero / Product Demo / Features,Double winner SOTY + Developer Award,2026-03-12
https://www.igloo.inc,igloo.inc,Igloo Inc,Agency / Studio,Awwwards SOTY 2024 + Dev + Business,3D WebGL environment,Dark industrial,Bold display + clean body,Layered depth + hover states,Hero / Case Studies / About,Triple-awarded 2024,2026-03-12
https://dontboardme.com,dontboardme.com,Don't Board Me,Product / Service,Awwwards SOTY 2024 + Dev Award,Interactive storytelling scroll,Bold unconventional,Kinetic typography,Narrative scroll experience,Full scroll story,SOTY 2024 winner,2026-03-12
https://www.opalcamera.com/opal-tadpole,opalcamera.com,Opal Tadpole,Product / Hardware,Awwwards SOTY 2024 + Dev Award,3D product visualization,Dark minimal,Tight sans-serif,Photorealistic 3D on scroll rotation,Hero / Product / Specs,Hardware product page benchmark,2026-03-12
https://lusion.co,lusion.co,Lusion,Agency / Creative Studio,Awwwards SOTY 2023 + CSSDA WOTY 2023 + Godly,Full 3D WebGL interactive,Dark cinematic,Bold on dark,Real-time 3D particles + fluid sims + cursor-reactive,Full interactive portfolio,Most technically ambitious agency site,2026-03-12
https://noomoagency.com,noomoagency.com,Noomo Agency,Agency / XR,Awwwards SOTY 2023 + Dev Award,Immersive 3D / XR,Dark mono + neon accents,Bold editorial,WebGL + spatial design,Hero / Projects / Lab,Multi-year Awwwards winner,2026-03-12
https://en.manayerbamate.com,manayerbamate.com,Mana Yerba Mate,E-commerce / FMCG,Awwwards SOTY 2023 + Dev Award,Animated product scroll parallax,Warm earthy + dark,Oversized display,Lenis scroll + flowing liquid animations,Hero / Product Story / Shop,Best-in-class scroll storytelling for physical product,2026-03-12
https://sleep-well-creatives.com,sleep-well-creatives.com,Sleep Well Creative,Agency / Studio,Awwwards SOTD Jan 2026 + No-code + Dev,Animated no-code build,Dreamy soft dark,Playful display,Kinetic text reveals + smooth transitions,Hero / Work / About,No-code award winner,2026-03-12
https://waabi.ai,waabi.ai,Waabi,AI / Autonomous Vehicles,Awwwards SOTD,Dark cinematic data viz,Deep dark blues,Neue Haas Grotesk style,Fluid generative visuals + scroll reveals,Hero / Technology / Team,Antinomy Studio build,2026-03-12
https://griflan.com,griflan.com,Griflan,Agency / Studio,Awwwards SOTD,Bold typographic editorial,High contrast B&W,Oversized display,Hover distortion effects,Hero / Work / Contact,Self-built agency site,2026-03-12
https://aim.obys.agency,aim.obys.agency,AIM - AI Modernism of Kharkiv,Cultural / Art,Awwwards SOTM Jan 2024,Editorial scroll narrative,Monochrome + accent bursts,Aggressive type hierarchy,Grainy textures + brutalist motion,Full editorial scroll,Site of the Month winner,2026-03-12
https://www.nite-riot.com,nite-riot.com,Nite Riot,Brand / Lifestyle,Awwwards SOTD Apr 2025 + No-code + Dev,Dark atmospheric fullscreen,Deep night palette,Bold condensed,Gritty texture + smooth parallax,Hero / Collection / Story,Triple-honored lifestyle brand,2026-03-12
https://www.on.energy,on.energy,ON Energy,Clean Tech / Energy,Awwwards SOTD,Data-driven animation,Corporate elevated,Strong type system,Animated data visualizations,Hero / Solutions / Impact,Studio 28K build (11 Awwwards wins),2026-03-12
https://limitless.ai,limitless.ai,Limitless AI,AI / SaaS / Wearable,Godly,Animated product scroll story,Deep dark + glowing UI,Constrained sans-serif,Smooth animated product demo,Hero / Product / Features,Most compelling AI product page,2026-03-12
https://augen.pro,augen.pro,Augen,Wearable Tech / AI,Godly + Inspiration Supply,Cinematic fullscreen dark,Dark calm spacious,Minimal sans-serif,Subtle UI reveals + soft glow,Hero / Product / Vision,Brand identity = site design,2026-03-12
https://phantom.app,phantom.app,Phantom,Web3 / Crypto Wallet,Godly,Gradient-rich animated + floating 3D,Purple-to-dark gradient,Friendly yet technical,Holographic glow + fluid scroll,Hero / Features / Download,Made crypto visually approachable,2026-03-12
https://amie.so,amie.so,Amie,SaaS / Productivity,Godly,Light animated product demo + bento,Warm pastel,Playful humanist,Smooth animated app screenshots,Hero / Bento Features / Pricing,Proves SaaS doesn't need dark/corporate,2026-03-12
https://reflect.app/home,reflect.app,Reflect,SaaS / Note-Taking,Godly,Minimal animated product screenshots,Dark obsidian + gradient glow,Precise mono,Node-graph visualization,Hero / Features / Pricing,Design communicates powerful + calm,2026-03-12
https://cosmos.so,cosmos.so,Cosmos,Creative Tool / Mood Board,Godly,Gallery-driven mosaic animated,Dark card layout,Clean sans-serif,Fluid masonry grid animation + hover states,Hero / Gallery / Create,Makes you want to use it immediately,2026-03-12
https://atlascard.com,atlascard.com,Atlas,Fintech / Card Product,Godly,3D card product visualization,Dark minimal + glow,Bold display numerals,Scroll-driven card flip/reveal,Hero / Card / Features,Standard-setter for fintech card pages,2026-03-12
https://kidsuper.world,kidsuper.world,KidSuper World,Fashion / Art / E-commerce,Godly,Chaotic maximalist animated,Loud multi-color,Playful type mixing,Bouncy animation timing + hand-drawn,Full chaos experience,Anti-minimalism benchmark,2026-03-12
https://roasted.design,roasted.design,Roasted Design,Agency / Studio,Godly,Bold typographic editorial,Coffee-dark,Oversized display,Strong horizontal scroll or parallax,Hero / Work / Process,Studio site as case study,2026-03-12
https://endless.design,endless.design,Endless Design,Design Agency / Subscription,Godly,Clean animated service page,Monochrome + selective color,Editorial,Smooth section transitions,Hero / Services / Pricing,Godly's sister company,2026-03-12
https://linear.app,linear.app,Linear,SaaS / Dev Tool,Land-book + frontend.horse,Dark animated gradient orbs,Obsidian dark + prismatic accents,Inter system,Subtle gradient glow + card reveals,Hero / Features / Changelog,Gold standard for dark SaaS design,2026-03-12
https://stripe.com,stripe.com,Stripe,Fintech / Payments,Land-book,Animated gradient orb,Purple-blue gradient + white,Authoritative sans-serif,Micro-interactions on CTAs + animated code,Hero / Products / Developers,Most copied fintech design ever,2026-03-12
https://framer.com,framer.com,Framer,SaaS / No-Code Builder,Land-book + slashdev.io,Interactive animated product demo,Dark editorial + color pops,Custom display,Site-within-site demos + motion,Hero / Templates / Pricing,Website builder whose site is best ad,2026-03-12
https://superpower.com,superpower.com,Superpower,Health Tech / SaaS,Godly + Awwwards,Lifestyle photo + clean UI,Light-dark hybrid,Clean sans-serif,Animated feature cards,Hero / Features / Science,Aspirational health tech,2026-03-12
https://buttermax.net,buttermax.net,Buttermax,Agency,CSSDA WOTY 2024 (#1),Fullscreen animated kinetic type,High-contrast bold,Bold editorial display,Dramatic scroll-triggered reveals,Hero / Work / About,CSSDA Website of the Year 2024,2026-03-12
https://activetheory.net,activetheory.net,Active Theory V6,Agency / Portfolio,CSSDA WOTY 2024 runner-up,3D WebGL interactive + animated intro,Dark immersive,Dynamic display,Water-effect WebGL + 3D transitions,Hero / Projects / Team,Most technically advanced portfolio,2026-03-12
https://www.cartier.com/en-us/watches-and-wonders-2024.html,cartier.com,Cartier Watches & Wonders,Luxury / Campaign,CSSDA Best UI 2024,Fullscreen video + 3D product viz,Dark + gold,Luxury serif + refined spacing,WebGL product renders + cinematic scroll,Hero / Products / Story,Best UI 2024 — luxury meets interactive,2026-03-12
https://atmos.ayocin.com,atmos.ayocin.com,ATMOS Lamp by AYOCIN,Product / E-commerce,CSSDA Best UX 2024,3D product scroll-driven,Dark ambient,Minimal display,Interactive 3D model + Lenis scroll,Hero / Product 3D / Buy,Masterclass in 3D product selling,2026-03-12
https://zentry.com,zentry.com,Zentry,Gaming / Web3,Orpetron SOTY 2024,CGI video + animated text reveals,Cinematic dark,Bold display,GSAP + Lenis + Three.js + sound,Full immersive scroll,Most immersive gaming website ever,2026-03-12
https://labs.noomoagency.com,labs.noomoagency.com,Noomo Labs,Agency / Lab,CSSDA WOTY 2024 top 10,Animated text + abstract motion,White/dark hybrid,Bold display,Scroll-driven horizontal storytelling,Hero / Experiments / Lab,Agency of the Year (users' choice),2026-03-12
https://raycast.com,raycast.com,Raycast,SaaS / Developer Tool,frontend.horse,Dark animated product reveal,Dark + bold red accent,Monospace + humanist pairing,Grid backgrounds + glassmorphism,Hero / Features / Extensions,Best monospace/humanist font pairing,2026-03-12
https://vercel.com,vercel.com,Vercel,SaaS / Developer Platform,Design references,Dark fullscreen product viz,Bold dark + colorful content,Technical sans-serif,Parallax scroll + product demos,Hero / Products / Docs,Cinematic developer marketing,2026-03-12
https://resend.com,resend.com,Resend,SaaS / Email API,frontend.horse,Dark minimal + animated text gradient,Dark + subtle gradient,Clean sans + monospace accents,Gradient headings + high contrast CTA,Hero / Features / Docs,Cleanest dark-SaaS implementation,2026-03-12
https://supabase.com,supabase.com,Supabase,SaaS / Developer Infra,frontend.horse,Dark animated + interactive code,Dark + green accent,Code-forward sans-serif,Glassmorphism cards + grid patterns,Hero / Products / Docs,Green on dark = instantly recognizable,2026-03-12
